Org Objective,Product Area,Hardware,AI Team Objective,Rank,Project + Description,Type,PRD / 1 Pager,TEAM,STO(s),T-Shirt Size,FTE Est.,Staffing,EOQ Goal,EOH Goal,Delivery Dates,Key Metric & Impact,Integration/Partner POD,Cross Team Dependencies (with POC),Existing / New,Planned?,Design Status (Enter Design status if applicable otherwise N/A),Available Days,RF Feature Dev,BE - 27 (EoQ) [DO NOT EDIT],DF Feature Dev,FE - 23 (EoQ) [DO NOT EDIT],QA - 52,QA - 52 (EOQ) [DO NOT EDIT],AN - 66,AN (EOQ) [DO NOT EDIT],iOS - 70,iOS - (EOQ) [DO NOT EDIT],Design,Design (EOQ) [DO NOT EDIT],Platform,Platform (EOQ) [DO NOT EDIT],Data Platform,Data Platform (EOQ) [DO NOT EDIT],Embedded,Embedded (EOQ) [DO NOT EDIT],DS,DS (EOQ) [DO NOT EDIT],Resources
"Win in UK/EU, Scale Intl",International,,,,"Canada - Underwriting + KYB models
Building the credit policy and relevant tooling for underwriting and KYB for onboarding customers to Motive card Canada",Epic,Motive Cards | Canada KYB/KYC Flow,AS,"Eng: Shravan Sunkada
PM: Apratim Ghosh",L,0.5,Manoharan Naidu Karthik R TBH,GA,,,"Key metric: Approval rates, delinquency rates, loss rates, aTPV in Canada
Impact: Launch Motive Card in Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,
Win in Enterprise,Motive Card,,,,"Re-underwriting for Portfolio management
Utilize data from newly linked bank accounts to re-underwriting customers once their bank accounts are changed (Identity, credit checks)",Epic,PRD - Apratim - Post Approval Risk Adjustments v2,AS,"Eng: Shravan Sunkada
PM: Apratim Ghosh",S,0.25,Manoharan Naidu ,GA,,,"Key metric: Reduction in loss rates 
Impact: Obtain visibility into instances where there is an Identity mismatch / lower funds from bank accounts that are changed post underwriting",,,,,,,,,,,,,,,,,,,,,,,,,,,
Win in Enterprise,Motive Card,,,,"Secured Card underwriting + Portfolio management
Determine eligibility and ongoing risk assessment / graduation criteria for Motive secured card",Epic,PRD: secured credit line on Motive Card,AS,"Eng: Shravan Sunkada
PM: Apratim Ghosh",M,0.25,Manoharan Naidu Karthik R TBH,GA,,,"Key metric: Incremental TPV
Impact: Widen product usability by offering an alternate product to customers with low creditworthiness",,,,,,,,,,,,,,,,,,,,,,,,,,,
Win in Enterprise,Motive Card,,,,"Underwriting pre-check app
Build an app to be used (by the Sales team) to get a directional indication of an application's probability of approval ",Epic,Motive Cards | Pre-Check Build Out,AS,"Eng: Shravan Sunkada
PM: Apratim Ghosh",M,0.25,Manoharan Naidu Karthik R TBH,,GA,,"Key metric: Approval rate for green-lit applications through the pre-check app
Impact: Provides the sales team a directional estimate of the approval probability of an application",,,,,,,,,,,,,,,,,,,,,,,,,,,
Win in Enterprise,Motive Card,,,,"LTF model - precision improvement for ENT
Improve precision for flagging transactions, with a particular focus on ENT customers",Epic,PRD - LTF Approval-Based Supp v2,AS,"Eng: Shravan Sunkada
PM: Apratim Ghosh",M,0.5,Manoharan Naidu Bhupinder Singh,,GA,,"Key metric: Precision of the flagged transactions
Impact: Decreases friction for ENT customers",,,,,,,,,,,,,,,,,,,,,,,,,,,
Win in Enterprise,Motive Card,,,,"Portfolio management - proactive limit increase pipeline
Automate the customer selection and implementation of the credit limit increases on an ongoing basis",Epic,Motive | Proactive Credit Limit Increase v2,AS,"Eng: Shravan Sunkada
PM: Apratim Ghosh",S,0.5,Manoharan Naidu ,GA,,,"Key metric: Incremental spend, delinquency metrics
Impact: Build capability to underwrite specific transactions",,,,,,,,,,,,,,,,,,,,,,,,,,,
Win in Enterprise,Motive Card,,,,"Application fraud checks
Involves building a risk rating from a fraud perspective using application information (bank, linkages, etc.) and flagging it at the point of underwriting",Epic,Motive Cards | Fraud Application Prevention Proposal,AS,"Eng: Shravan Sunkada
PM: Apratim Ghosh",M,0.25,Christopher SmithKarthik R ,,GA,,Key metric: Reduction in fraud rate,,,,,,,,,,,,,,,,,,,,,,,,,,,
Win in Enterprise,Motive Card,,,,"Upmarket portfolio management
Enhancing the upmarket portfolio management process and reporting structure",Epic,Upmarket Portfolio Management Process,AS,"Eng: Shravan Sunkada
PM: Apratim Ghosh",S,0.25,Christopher Smith Karthik R,GA,,,"Key metric: Loss rates, Risk ops efficiency (FTE hours saved)",,,,,,,,,,,,,,,,,,,,,,,,,,,
Win in Enterprise,Motive Card,,,,"Fraud claims app
Build a Retool app to facilitate the fraud claims process (tracking and surfacing relevant metadata for decisioning)",Epic,,AS,"Eng: Shravan Sunkada
PM: Apratim Ghosh",M,0.5,Christopher Smith Karthik R,,GA,,"Key metric: Fraud rates, Risk ops efficiency (FTE hours saved)",,,,,,,,,,,,,,,,,,,,,,,,,,,
Deliver Enterprise- Grade Reliability Across Hardware and Software,AI Safety & Collisions,"Both(AIDC, AIDC+)",AI Product Roadmap,,"Alert and Event Parity
Alert event disparity for (1)Close following, (2)Unsafe lane changes, (3)RF Camera obstruction is at about 10%. Our plan gets the disparity close to <2%. The work involves removing efs filter and moving them to edge",Epic,,AI Reliability,"ENG: Ali Hassan
PM: Anandh Chellamuthu",S,,TBD,,Commit to GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Win in Enterprise,,,3rd Generation Models,26,"Forward Collision Warning v3
Predictive modeling and precision improvements",,,DF,"ENG: Wajahat Kazmi
PM: Devin Smith",L,2,Mohammad Daniyal Shaiq Atifa Sarwar,PoC ,Beta (Customer Deployable),"Jun 30, 2026","Key Metrics: Precision of 95%, with >70% recall (to be refined)
Impact: FCW in the field today has three issues: high sensitivity (too many alerts, especially in not-so-dangerous situations), delayed alerting (too slow), and low precision in urban and suburban areas (when lanes are missing). Fixing these issues will bring this model",NA,,Existing / Spillover,,,,,,30,,,,,,,,,,,,,,,,,,
Win in Enterprise,,,,30,"Eating Detection
Feature Improvements",,,DF,"ENG: Wajahat Kazmi
PM: Achin Gupta",M,1,Ayman Ahmad,GA,,TBD,Key Metrics and Impact: Increase precision and recall of aggregated lane swerving to 90%+.,"AI Platform
Achin Gupta Dhiraj Bathija",,Existing / Spillover,,,,,,40,,,,,,,,,,,,,,,,,,
Win in Enterprise,,,Mature AI Product,31,"Lane Swerving  v2
Feature hardening: Precision & Recall improvmenet",,,RF,"TL: Muhammad Asif
EM: Fahad Javed
PM: Devin Smith",L,2,Muhammad Asif Muhammad Haad Zahid,Beta ,GA,TBD,Key Metrics and Impact: Increase precision and recall of aggregated lane swerving to 90%+.,NA,,Existing / Spillover,,,,60,,,,,,,,,,,,,,,,,,,,
Win in Enterprise,,,,32,"Smoking Detection
Feature hardening, model improvement, state machine improvement",,,DF,"ENG: Wajahat Kazmi
PM: Devin Smith",M,2,Ayman Ahmad,Beta ,GA,TBD,Key Metrics and Impact: Increase precision and recall of aggregated lane swerving to 95%+.,NA,,Existing / Spillover,,,,,,20,,,,,,,,,,,,,,,,,,
,,,,,Cutline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,25,Pedestrian Detection for AI Box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Win in Enterprise,,,AI Product Roadmap,27,"SSV Right Turn Mod.
Suppress SSV in-cab alerts if the stop sign has auxiliary text below it that says “Except Right Turn”, when the stop sign can be ignored",,Mini-TDD: Stop Sign Violation (SSV) Right Turn Mode,RF,"TL: Ali Kamal
EM: Fahad Javed
PM: Devin Smith",L,2,Ali Kamal new_hire_rf_2,PoC ,Beta (Customer Deployable),"Jun 30, 2026",TBD,NA,,Existing / Spillover,,,,,,,,,,,,,,,,,,,,,,,,
"Win in UK/EU, Scale Intl",,,,28,"EU (Germany, Netherlands) Model Fine-Tuning & Domain Adaptation",,,"RF, DF",,L,2,TBD,Determine Scope,GA,"Jun 30, 2026",TBD,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deliver Enterprise- Grade Reliability Across Hardware and Software,,,,29,"GA 6 FPS AIDC, AIDC+ end-to-end (device + EFS)
- Driver Facing, all AI features
- Update EFS secondary validation to ensure parity and event volumes",,,"DF, Foundations, RF",ENG:  Wajahat Kazmi Fahad Javed,S,2,Isbah Malik Aman Shekh,GA,TBD,"Mar 31, 2026","Key Metrics: Deliver 6fps to all AI features, keep AT&T costs flat
Impact: Varying degrees of increase in overall precision and recall for different AI events.",Internal Dependency on embedded AI,Reliability pod (Jaya Rajwani ). Support needed for monitoring and data analysis.,New,Yes,,,20,,60,,,,,,,,,,,,,,,,,,
,,,Below The Line,,Deprioritized,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deliver Enterprise- Grade Reliability Across Hardware and Software,,,,,Block creation of duplicate events - Cell phone and Eating events are also created as Distraction events which are invalidated by the AT team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Differentiate with AI,,,,,"Scene-based Event/Alert Suppression
Publish scene types with detected AI events to the BE, and enable customer configuration to choose scene-type-based invalidation, such as no seatbelt detection in a parking lot, etc.; create a configuration to suppress SBV and SSV events on the edge",,Needs Product signoff,"DF, RF","ENG: Ali Hassan Wajahat Kazmi
PM: ",L,2,"new_hire_rf_1
new_hire_df_2",,,,,"NA 
Not needed in H1, till we finalize the ROI
(AI Platform, ATech)",,,,,,30,,30,,,,,,,,,,,,,,,,,,
Deliver Enterprise- Grade Reliability Across Hardware and Software,,,,,"Perception Breadcrumbs
Log perception metadata, such as # of vehicles detected, scene class, distances, driver-facing classes, and object counts, RF and DF model uncertainty score, every 30 to 60 minutes.
Goal: AI health monitoring, camera installation health, and uncertainty sampling",,,Embedded,ENg: Wajahat Kazmi,L,2,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Differentiate with AI,,AIDC+ (dc63/dc64) Only,AI Product Roadmap,,"ALPR (Public Safety)
LP/Vehicle/+ Detect/Crop, OCR to (1) build Vehilce intelligence database, (2) Surface LPR information for Collision events 

",,,RF,"ENG: ?
PM: Anandh Chellamuthu",,?,,TDD Complete,,,,AI Platform - BE,,,,,,,,,,,,,,,,,,,,,,,,,,
"Win in UK/EU, Scale Intl",,,,,"Driver Privacy / AI ON  (AI app, EFS)",,,,"ENG: Hareesh Kolluru
PM: Anandh Chellamuthu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Differentiate with AI,,,AI Product Roadmap,,Redlight Violation,,PRD  - Red Light Violation,,,,,,,,,,"AI Platform
STO: Dhiraj Bathija",,Existing / Spillover,,,,2,,,,,,,,,,,,,,,,,,,,
Differentiate with AI,,,,,Bias and Fairness of AI Models (AI Act in EU),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Differentiate with AI,,,,,Explainability Traces of AI Models (AI Act in EU),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Win in UK/EU, Scale Intl",,,,,OEM Integration / International,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Differentiate with AI,,,,,Positive Driving,,,,,,,,,,,,,,Existing / Spillover,,,,,,,,,,,,,,,,,,,,,,,,
Differentiate with AI,,,,,Dynamic State Machines Framework,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Differentiate with AI,,,,,Lane Departure Warning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Differentiate with AI,,,,,L2 POC with Comma AI on VG-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Differentiate with AI,,,,,AIDC+ Distance improvements with 2 cameras ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deliver Enterprise- Grade Reliability Across Hardware and Software,,,,,"Unsafe Parking V2
Precision improvements",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deliver Enterprise- Grade Reliability Across Hardware and Software,,,Mature AI Product,,"Unsafe Lane Change v2
Precision improvements",,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,
Differentiate with AI,,,,,Left Lane Camping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deliver Enterprise- Grade Reliability Across Hardware and Software,,,,,"Distraction v2
Move away from catch all",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
